depArr,distance,angle_error,distance_long,operation_mode,angle_sum,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,TemperatureInCelsius,WindSpeedInMPS,isRain,isSnow,isDrizzle,isFog,isMist,isHaze,isHail,flightNumber,airline,aircraftModel,AvgSpdLast5Dep,AvgSpdLast5Arr,AvgSpdLast5,AvgSpdLast10Dep,AvgSpdLast10Arr,AvgSpdLast10,TaxiTime
0,2825.01528314,0,1417.43726795,1,812.44,2,1,0,0,2,0,0,0,30.15,10000.0,9.0,3.6036,0,0,0,0,0,0,0,"A3639","AEE","A320",129.333091877,403.944127397,129.333091877,132.885674474,348.361332428,170.994504093,15.85
1,2044.68729932,0,0,1,633.99,0,0,0,2,0,0,0,2,30.15,8000.0,9.0,4.1184,0,0,1,0,0,0,0,"LH942","DLH","A320",72.415254589,292.77853746,292.77853746,72.415254589,312.373574376,312.373574376,13.3
1,1797.27553679,0,789.781958806,1,660.97,0,0,0,0,0,0,0,0,30.15,8000.0,9.0,4.1184,0,0,1,0,0,0,0,"FR1144","RYR","B738",72.415254589,278.642109404,278.642109404,72.415254589,294.69146352,294.69146352,4.71666666667
0,2450.34521937,2,1417.43726795,1,782.79,0,0,0,0,0,0,0,0,30.15,10000.0,10.0,5.148,0,0,0,0,0,0,0,"FI441","ICE","B752",139.542917996,445.259521285,244.300687149,135.622563102,360.027777564,181.398675509,11.2333333333
0,1478.56896519,0,1074.08160752,1,543.76,1,0,0,0,1,0,0,0,30.15,10000.0,10.0,5.148,0,0,0,0,0,0,0,"BA1395","BAW","A320",163.578999014,445.259521285,262.200357446,146.776680991,360.027777564,194.807686062,16.0
0,2452.33912235,0,977.407659449,1,627.11,1,0,0,0,1,0,0,0,30.15,10000.0,10.0,5.148,0,0,0,0,0,0,0,"SK4608","SAS","B737",158.136988875,445.259521285,246.027451709,138.316826371,360.027777564,187.680271793,5.46666666667
0,1512.43294361,2,1074.08160752,1,615.43,1,2,0,0,1,1,0,0,30.12,10000.0,10.0,3.6036,0,0,0,0,0,0,0,"FR3246","RYR","B738",238.902531243,444.348900631,305.52964988,184.11781156,375.018841515,274.915168515,13.4666666667
0,2871.36820647,0,1417.43726795,1,920.99,1,2,0,0,1,0,0,0,30.15,10000.0,10.0,5.148,0,0,0,0,0,0,0,"LH943","DLH","A320",222.130058779,445.259521285,300.100295153,174.772536728,360.027777564,219.821606575,11.1666666667
0,3081.07904393,2,1417.43726795,1,928.14,3,1,0,0,2,1,0,0,30.12,10000.0,10.0,3.6036,0,0,0,0,0,0,0,"PK721","PIA","B77L",225.717526099,471.242346751,380.188539158,182.630222047,412.165124453,313.107995434,25.5333333333
0,1009.29422062,2,756.386081791,1,533.89,1,0,0,0,2,0,0,0,30.12,10000.0,10.0,3.6036,0,0,0,0,0,0,0,"FR1145","RYR","B738",206.22498013,471.242346751,314.602593582,184.901989572,412.165124453,307.351444368,16.9833333333
